up,down,TODAYDATE,LAST,TIM,CON,TIM,Boolinger%,MACD1HR-DIF,STOCH1HR-DIF,OICP,OIPP,CP,PP,HIST,MACDDIF,STOCH,MACD,1-STOCH,ocpt,oppt,1=MACD,NCRAT,NORAT,CPT,PPT,NCDIF-v,NODIF-v,LAST,DAY%,20ma,50ma
65,12,4-Oct-24,20059.25,1130,0.1,1130,76.54,0.04,0.64,881,101,76,-28,0.06,0.02,69.21,-0.01,-11.23,2236288,782160,-0.11,2.9,2.9,40923,14277,0.01,0,19.83,2.22,0.35,0.09
38,16,4-Oct-24,20063.75,1127,0.06,1127,74.12,-0.01,-0.95,60350,-14688,5911,-173,0.06,0.03,70.61,-0.03,-11.87,2235407,782059,-0.11,2.9,2.9,40847,14305,0.45,0.13,19.81,2.12,0.34,0.06
1,30,4-Oct-24,20077.5,1124,0.02,1124,78.13,-0.02,5.38,89051,-31914,2146,-524,0.04,0.04,57.27,-0.06,-10.92,2175057,796747,-0.11,2.4,2.7,34936,14478,0.22,0.21,19.84,2.27,0.38,0.08
-14,45,4-Oct-24,20092.75,1121,-0.03,1121,60.64,-0.03,7.29,51885,-15996,783,-290,0.02,0.03,24.98,-0.1,-16.3,2086006,828661,-0.12,2.2,2.5,32790,15002,0.1,0.11,19.67,1.42,0.21,-0.1
-26,71,4-Oct-24,20118.25,1118,-0.08,1118,36.63,-0.05,0.95,-40650,11310,-583,240,-0.01,0.01,-21.42,-0.13,-23.59,2034121,844657,-0.14,2.1,2.4,32007,15292,-0.08,-0.08,19.44,0.26,-0.04,-0.35
15,56,4-Oct-24,20103.75,1115,-0.11,1115,34.11,-0.07,5.7,97411,-41636,1757,-633,-0.02,0.01,-54.19,-0.14,-24.54,2074771,833347,-0.14,2.2,2.5,32590,15052,0.2,0.23,19.41,0.1,-0.09,-0.4
-24,94,4-Oct-24,20141.75,1112,-0.11,1112,13.36,-0.07,0.63,4918,-573,302,-75,-0.04,-0.01,-86.06,-0.15,-30.24,1977360,874983,-0.15,2,2.3,30833,15685,0.03,0.01,19.23,-0.83,-0.31,-0.61
-2,96,4-Oct-24,20143.5,1109,-0.11,1109,7.03,-0.08,-0.63,-4918,22,-33,80,-0.04,-0.01,-88.68,-0.14,-30.87,1972442,875556,-0.15,1.9,2.3,30531,15760,-0.01,-0.01,19.21,-0.94,-0.37,-0.65
-9,105,4-Oct-24,20152.25,1106,-0.09,1106,3.02,-0.09,-0.63,2036,-4084,433,-24,-0.04,-0.02,-86.76,-0.13,-30.24,1977360,875534,-0.15,1.9,2.3,30564,15680,0.03,0.01,19.23,-0.83,-0.39,-0.66
2,91,4-Oct-24,20150,1103,-0.05,1103,2.68,-0.08,-29.57,-31826,17102,-510,297,-0.03,-0.02,-81.35,-0.11,-29.61,1975324,879618,-0.15,1.9,2.2,30131,15704,-0.07,-0.08,19.25,-0.73,-0.41,-0.67
27,62,4-Oct-24,20125.5,1100,-0.02,1100,13.74,-0.04,-3.84,-104694,35089,-1605,557,-0.02,-0.01,-73.66,-0.09,-0.04,2007150,862516,-0.1,2,2.3,30641,15407,-0.18,-0.22,19.38,-0.05,-0.3,-0.56
46,29,4-Oct-24,20106.25,1057,0.02,1057,26.39,-0.02,1.92,31750,-14691,604,-224,-0.01,-0.01,-67.39,-0.08,3.8,2111844,827427,-0.09,2.2,2.6,32246,14850,0.07,0.08,19.5,0.56,-0.18,-0.46
43,17,4-Oct-24,20109.5,1054,0.05,1054,19.81,-0.01,-1.6,-12572,6996,-145,128,0,-0.02,-67.63,-0.07,1.88,2080094,842118,-0.09,2.1,2.5,31642,15074,-0.03,-0.04,19.44,0.26,-0.25,-0.54
48,0,4-Oct-24,20104,1051,0.09,1051,29.83,-0.02,-8.02,-77940,29495,-965,490,0.02,-0.02,-53.86,-0.05,3.48,2092666,835122,-0.09,2.1,2.5,31787,14946,-0.14,-0.18,19.49,0.51,-0.24,-0.51
